suite,description,lat,long,floor,type
0,1left entrance outside,42.09247336762025,-71.26641176178101,1,Location
0,1left entrance,42.092519162004315,-71.26635382787208,1,Intermediary
0,1a1,42.09253411526544,-71.26633745524565,1,Intermediary
0,1a2,42.09256776009002,-71.26629967226157,1,Intermediary
0,1a3,42.09259112454105,-71.26627196473991,1,Intermediary
0,1a4,42.09254626478749,-71.26625433268069,1,Intermediary
0,1a5,42.09257990960563,-71.26611327620677,1,Intermediary
0,1middle stairs,42.092620096448364,-71.26612209223639,1,Staircase
0,1a6,42.09259766658581,-71.26601000271695,1,Intermediary
0,1a7,42.09261916187092,-71.26592058298796,1,Intermediary
0,1a8,42.09263318053121,-71.26586138964623,1,Intermediary
0,1urology/cardiology,42.092669629033466,-71.26587524340705,1,Location
0,1urology/cardiology2,42.092669629033466,-71.26587524340704,1,Location
0,1a9,42.092651872073446,-71.26577322935003,1,Intermediary
0,1a10,42.092664956149726,-71.26570773884428,1,Intermediary
0,1right stairs,42.092697666328625,-71.26560824365289,1,Staircase
0,120elevator,42.09268458225911,-71.26565232380098,1,Elevator
0,1a11,42.092694,-71.265939,1,Intermediary
0,1a12,42.092739,-71.265955,1,Intermediary
0,120radiology,42.092654675804305,-71.2663588656033,1,Intermediary
0,1b17,42.0926873859885,-71.26631478545521,1,Intermediary
0,1b1,42.09262290018065,-71.26635256843929,1,Intermediary
0,1b2,42.09262850764481,-71.26628707793354,1,Intermediary
0,1b3,42.09264626461136,-71.26629589396316,1,Intermediary
0,1b4,42.09264906834246,-71.26627952133673,1,Intermediary
0,1b5,42.09264906834246,-71.26627952133673,1,Intermediary
0,1blood/urgent,42.09267243276353,-71.26623040345743,1,Location
0,1blood/urgent2,42.09267243276352,-71.26623040345744,1,Intermediary
0,1b6,42.092774,-71.265858,1,Intermediary
0,1b7,42.092786,-71.26582,1,Intermediary
0,1b8,42.092803,-71.26587,1,Intermediary
0,1b9,42.092791,-71.265787,1,Intermediary
0,1b10,42.092803,-71.265754,1,Intermediary
0,1b11,42.092803,-71.265754,1,Intermediary
0,1b12,42.092803,-71.265754,1,Intermediary
0,1b13,42.092821,-71.265723,1,Intermediary
0,1b14,42.092821,-71.265723,1,Intermediary
0,1b15,42.092835,-71.265595,1,Intermediary
0,1right entrance,42.092835,-71.265595,1,Intermediary
0,1right entrance outside,42.09280140421301,-71.26562965401052,1,Location
0,1b16,42.09283317974725,-71.26585383304942,1,Intermediary
0,1c1,42.092715423275855,-71.26632737978323,1,Intermediary
0,1pharmacy,42.092788,-71.266211,1,Location
0,1c2,42.092836,-71.266267,1,Intermediary
0,1c3,42.092846,-71.266212,1,Intermediary
0,1c4,42.09286,-71.26615,1,Intermediary
0,1c5,42.092839,-71.266153,1,Intermediary
0,1c6,42.092874,-71.266087,1,Intermediary
0,1c7,42.092848,-71.266089,1,Intermediary
0,1c8,42.092869,-71.265967,1,Intermediary
0,1d1,42.092817,-71.26627,1,Intermediary
0,1d2,42.092821,-71.266236,1,Intermediary
0,1d3,42.092837,-71.266243,1,Intermediary
0,1d4,42.09286,-71.266254,1,Intermediary
0,1d5,42.092892,-71.266017,1,Intermediary
0,1d6,42.092892,-71.266017,1,Intermediary
0,1d7,42.092871,-71.265968,1,Intermediary
0,1d8,42.092871,-71.265968,1,Intermediary
0,1d9,42.092871,-71.265968,1,Intermediary
0,1d10,42.092852,-71.265911,1,Intermediary
0,1d11,42.092892,-71.266017,1,Intermediary
0,1e1,42.092886,-71.266333,1,Intermediary
0,1e2,42.092917,-71.266278,1,Intermediary
0,1e3,42.09294,-71.26612,1,Intermediary
0,1e4,42.09292,-71.266343,1,Intermediary
0,1e5,42.09293,-71.26636,1,Intermediary
0,1e6,42.092947,-71.266384,1,Intermediary
0,1e7,42.092963,-71.266393,1,Intermediary
0,120top stairs,42.09296,-71.266427,1,Staircase
